item_id,primary_vote_counts,text
c_1f513b19f956,"{""Joy"": 1, ""Love"": 1, ""Anger"": 1}",Kya kya naam Diya hai🎉
c_297e76b4a7ab,"{""Surprise"": 1, ""Anger"": 1, ""Neutral"": 1}",​ [USER] kya bolu bhai
c_35a980f71dbf,"{""Love"": 1, ""Anger"": 1, ""Devotion"": 1}",[USER]  feroz khan is nothing in fornt of dharmendra ....dharmendra is 100 times better than feroz khan
c_3ab8ee4a4207,"{""Devotion"": 1, ""Surprise"": 1, ""Love"": 1}",Har har mahadev❤❤❤❤❤
c_4a50ff8ca154,"{""Surprise"": 1, ""Neutral"": 1, ""Fear"": 1}",Kon kon ye video 2024 me dekh raha hai😮😮😮😮😱💯
c_50f0b14c7bfd,"{""Devotion"": 1, ""Fear"": 1, ""Love"": 1}","Stories achi h or khofnak bhi ,😱 Allah pak sab ko apne hifzoAman me rkhy or sab ko sehat wali lambi zindgi de [NAME] 🤲"
c_55728f3deb5a,"{""Love"": 1, ""Fear"": 1, ""Sadness"": 1}",[NAME] hifazat kare apke ghar walo ki 😢
c_565d1d7f7a22,"{""Nostalgia"": 1, ""Surprise"": 1, ""Love"": 1}",I got hooked on watching tennis because of Rafa. Lovely human being and an old soul. always gracious and humble. A great man in every way.
c_5ec462160af2,"{""Surprise"": 1, ""Sadness"": 1, ""Joy"": 1}",The reaction to this movie is still so iconic.  It is THE twist.
c_732f38acc018,"{""Neutral"": 1, ""Anger"": 1, ""Joy"": 1}",Me bhi darbhanga se hu bhai
c_84858bb7947d,"{""Surprise"": 1, ""Anger"": 1, ""Fear"": 1}",So much litter on the road😮
c_9a81fa1a1a81,"{""Surprise"": 1, ""Fear"": 1, ""Joy"": 1}",Dude just wrestled a huge croc😲
c_a70252132e28,"{""Joy"": 1, ""Love"": 1, ""Devotion"": 1}",आपका विश्लेषण काबिले तारीफ है❤
c_ab466a748e7c,"{""Love"": 1, ""Joy"": 1, ""Neutral"": 1}",मेरे मन का विचार निकाल दिया
c_b41e1ccfc582,"{""Joy"": 1, ""Surprise"": 1, ""Neutral"": 1}",वाह भाई वहा
c_d3e857497f90,"{""Love"": 1, ""Devotion"": 1, ""Surprise"": 1}","Madam, you are superb. After seeing your video, I get the confidence that  I can learn [NAME]. You are doing national service."
c_d7bab5c1a3f7,"{""Devotion"": 1, ""Joy"": 1, ""Neutral"": 1}",​ [USER] भी क्षण क्षण क्षण क्षण क्षण क्षण😂😂😂😂
c_d99cc04f6899,"{""Surprise"": 1, ""Neutral"": 1, ""Joy"": 1}",[NAME] chadi pili hui didi?
c_ddc613f22339,"{""Love"": 1, ""Joy"": 1, ""Devotion"": 1}","[NAME] family ki Umar Kitna hona chhhiye 
Sub- 1000yrs❤️
Ignore-😑few yrs"
c_e2636bdbff87,"{""Love"": 1, ""Sadness"": 1, ""Devotion"": 1}",I love you Maa 💔🥺🙏🔥
c_e445acfa05da,"{""Sadness"": 1, ""Nostalgia"": 1, ""Surprise"": 1}",Ye 1000% sach hai bhai😢
c_ee2afb37689b,"{""Devotion"": 1, ""Joy"": 1, ""Anger"": 1}","Aap jaisa [NAME]  Bharatiya sanatani ke liye bahut bahut jaruri hai,Aap ke pravachan Desh aur saccha Dharma raksha ke liye jagoroni hain pranam guru ji"
c_f9ba6234a063,"{""Love"": 1, ""Surprise"": 1, ""Joy"": 1}","वाह।
तार तार छू लिया दिल का साहब।"
