scope,emotion,token,z,count_in_emotion
all,Love,❤,64.16,6529
all,Love,love,23.54,709
all,Love,😍,13.81,278
all,Love,😘,12.14,174
all,Love,🥰,11.25,193
all,Love,you,10.89,555
all,Love,😊,10.25,422
all,Love,song,10.1,247
all,Joy,😂,50.93,3184
all,Joy,🤣,21.41,492
all,Joy,🎉,15.39,513
all,Joy,😅,15.3,525
all,Joy,😊,13.96,538
all,Joy,बहुत,10.77,343
all,Joy,👌,10.22,238
all,Joy,😁,7.97,87
all,Anger,😡,13.94,205
all,Anger,है,8.55,591
all,Anger,ko,7.86,358
all,Anger,🤬,7.67,55
all,Anger,देश,7.37,68
all,Anger,नहीं,7.25,223
all,Anger,hai,7.14,781
all,Anger,को,7.07,265
all,Sadness,😢,39.37,2397
all,Sadness,😭,21.76,1060
all,Sadness,💔,16.42,294
all,Sadness,🥺,10.85,252
all,Sadness,😔,10.51,159
all,Sadness,sad,10.3,109
all,Sadness,😞,7.29,65
all,Sadness,😥,7.08,97
all,Fear,dar,18.06,322
all,Fear,😰,11.87,138
all,Fear,😱,11.58,167
all,Fear,scary,11.41,149
all,Fear,😮,11.03,419
all,Fear,me,10.17,531
all,Fear,😨,9.92,92
all,Fear,i,9.91,695
all,Surprise,😮,25.66,815
all,Surprise,the,14.64,748
all,Surprise,that,11.78,364
all,Surprise,was,11.24,319
all,Surprise,twist,10.16,113
all,Surprise,i,10.06,475
all,Surprise,it,9.05,298
all,Surprise,a,9.02,326
all,Nostalgia,😭,18.78,984
all,Nostalgia,bachpan,16.56,260
all,Nostalgia,बचपन,16.11,243
all,Nostalgia,days,15.49,262
all,Nostalgia,yaad,15.33,243
all,Nostalgia,din,15.02,306
all,Nostalgia,याद,14.36,210
all,Nostalgia,miss,12.75,217
all,Devotion,🙏,48.22,2766
all,Devotion,jai,29.2,795
all,Devotion,❤,28.22,3274
all,Devotion,jay,22.94,484
all,Devotion,जय,22.74,493
all,Devotion,shree,21.09,402
all,Devotion,🚩,19.19,353
all,Devotion,🌹,19.07,448
all,Neutral,hai,10.87,794
all,Neutral,kon,7.85,137
all,Neutral,bhai,6.88,345
all,Neutral,the,6.51,524
all,Neutral,kya,6.39,192
all,Neutral,dekh,6.32,137
all,Neutral,to,5.6,397
all,Neutral,se,5.48,234
