scope,emotion,token,z,count_in_emotion
English,Love,❤,39.46,2023
English,Love,love,19.71,461
English,Love,you,8.79,356
English,Love,😍,8.16,99
English,Love,song,8.15,126
English,Love,😊,7.68,147
English,Love,😘,6.89,52
English,Love,i,6.78,431
English,Joy,😂,24.1,702
English,Joy,🎉,11.62,189
English,Joy,🤣,8.67,101
English,Joy,😊,7.97,155
English,Joy,very,5.9,117
English,Joy,👍,5.9,65
English,Joy,nice,5.88,68
English,Joy,🔥,5.32,66
English,Anger,😡,7.25,52
English,Anger,stupid,6.37,44
English,Anger,the,5.56,555
English,Anger,to,5.49,330
English,Anger,🤬,5.48,27
English,Anger,t,5.47,189
English,Anger,should,5.36,58
English,Anger,people,5.23,101
English,Sadness,😢,20.12,525
English,Sadness,😭,12.34,245
English,Sadness,💔,9.68,85
English,Sadness,sad,9.49,84
English,Sadness,😔,8.2,69
English,Sadness,poor,5.81,40
English,Sadness,i,5.56,413
English,Sadness,cry,5.39,39
English,Fear,scary,10.07,120
English,Fear,scared,8.54,77
English,Fear,i,8.16,627
English,Fear,the,7.63,662
English,Fear,terrifying,7.51,57
English,Fear,😰,6.46,45
English,Fear,😱,6.42,65
English,Fear,me,5.89,182
English,Surprise,😮,12.82,212
English,Surprise,the,10.19,724
English,Surprise,twist,8.84,107
English,Surprise,that,8.84,352
English,Surprise,was,8.54,308
English,Surprise,it,6.1,293
English,Surprise,i,5.98,461
English,Surprise,thought,5.75,54
English,Nostalgia,days,14.71,226
English,Nostalgia,old,11.64,160
English,Nostalgia,childhood,11.14,113
English,Nostalgia,miss,9.59,118
English,Nostalgia,remember,9.56,101
English,Nostalgia,i,9.43,675
English,Nostalgia,those,9.41,146
English,Nostalgia,memories,9.27,79
English,Devotion,🙏,17.75,396
English,Devotion,har,15.68,204
English,Devotion,❤,15.48,833
English,Devotion,allah,10.85,112
English,Devotion,jay,9.41,76
English,Devotion,sir,8.34,114
English,Devotion,om,8.18,56
English,Devotion,amen,7.89,55
English,Neutral,the,6.93,491
English,Neutral,is,4.89,240
English,Neutral,it,4.81,221
English,Neutral,in,4.27,204
English,Neutral,not,4.17,103
English,Neutral,a,4.05,218
English,Neutral,you,4.01,197
English,Neutral,that,3.84,170
Hindi,Love,❤,39.31,2410
Hindi,Love,dil,7.56,91
Hindi,Love,दिल,7.38,117
Hindi,Love,🥰,6.97,75
Hindi,Love,💞,6.56,41
Hindi,Love,प्यार,6.38,75
Hindi,Love,😍,6.22,58
Hindi,Love,hai,5.75,231
Hindi,Joy,😂,30.28,976
Hindi,Joy,बहुत,11.81,342
Hindi,Joy,😅,11.21,181
Hindi,Joy,😊,10.82,214
Hindi,Joy,🤣,9.78,95
Hindi,Joy,👌,9.65,162
Hindi,Joy,bahut,7.86,141
Hindi,Joy,🎉,7.69,155
Hindi,Anger,है,9.91,573
Hindi,Anger,नहीं,7.8,215
Hindi,Anger,को,7.63,252
Hindi,Anger,देश,7.49,66
Hindi,Anger,😡,7.46,60
Hindi,Anger,के,7.42,252
Hindi,Anger,चाहिए,6.28,69
Hindi,Anger,की,6.26,213
Hindi,Sadness,😢,23.43,839
Hindi,Sadness,😭,12.56,389
Hindi,Sadness,💔,10.9,131
Hindi,Sadness,है,6.29,415
Hindi,Sadness,नहीं,6.18,177
Hindi,Sadness,🥺,6.07,66
Hindi,Sadness,दर्द,5.54,37
Hindi,Sadness,😔,5.31,45
Hindi,Fear,है,8.47,129
Hindi,Fear,😮,8.04,90
Hindi,Fear,❤,7.64,18
Hindi,Fear,डर,7.15,45
Hindi,Fear,😢,5.22,41
Hindi,Fear,🙏,5.17,32
Hindi,Fear,hai,5.17,45
Hindi,Fear,से,5.15,52
Hindi,Surprise,😮,11.5,134
Hindi,Surprise,❤,9.25,4
Hindi,Surprise,है,7.73,44
Hindi,Surprise,😂,6.41,52
Hindi,Surprise,hai,5.74,35
Hindi,Surprise,🙏,5.58,10
Hindi,Surprise,😢,5.1,7
Hindi,Surprise,के,4.79,21
Hindi,Nostalgia,😭,17.56,564
Hindi,Nostalgia,बचपन,15.62,233
Hindi,Nostalgia,याद,13.9,202
Hindi,Nostalgia,दिन,11.1,155
Hindi,Nostalgia,वो,9.4,157
Hindi,Nostalgia,bachpan,8.94,77
Hindi,Nostalgia,थे,8.92,100
Hindi,Nostalgia,😢,8.91,421
